Date,Open,High,Low,Close,Adj Close,Volume
2015-07-07,42.799999,42.974998,41.985001,42.005001,37.031063,10873832
2015-07-08,41.970001,42.564999,41.884998,42.244999,37.242638,7107898
2015-07-09,42.450001,43.595001,42.154999,43.305000,38.177124,5878357
2015-07-10,44.404999,44.985001,43.915001,44.345001,39.093979,7477091
2015-07-13,45.290001,45.424999,44.314999,44.674999,39.384903,6831224
2015-07-14,44.500000,45.180000,44.259998,45.099998,39.759575,5751233
2015-07-15,45.145000,45.480000,45.000000,45.250000,39.891811,5499974
2015-07-16,45.450001,46.180000,45.095001,45.740002,40.323788,6016539
2015-07-17,45.915001,46.105000,45.474998,45.639999,40.235622,4987654
2015-07-20,45.794998,46.290001,45.360001,45.665001,40.257668,3520778
2015-07-21,45.595001,45.814999,45.209999,45.435001,40.054905,4465442
2015-07-22,44.935001,45.154999,44.549999,44.630001,39.345226,5008139
2015-07-23,44.865002,44.939999,44.299999,44.630001,39.345226,3896696
2015-07-24,44.650002,45.064999,44.075001,44.244999,39.005814,4781496
2015-07-27,43.950001,43.990002,42.904999,42.980000,37.890606,7925234
2015-07-28,43.220001,43.250000,42.764999,43.215000,38.097778,5997062
2015-07-29,44.080002,44.500000,43.299999,44.314999,39.067524,6489970
2015-07-30,44.674999,45.720001,44.535000,44.959999,39.636154,7191206
2015-07-31,44.959999,45.154999,44.535000,45.075001,39.737534,7461819
2015-08-03,44.904999,45.264999,44.619999,44.950001,39.627338,5890013
2015-08-04,44.615002,44.794998,44.224998,44.650002,39.362858,4990935
2015-08-05,44.740002,45.790001,44.645000,45.465000,40.081352,6061496
2015-08-06,45.169998,45.470001,44.939999,45.294998,39.931477,3808004
2015-08-07,45.520000,46.500000,45.415001,45.794998,40.372272,6765535
2015-08-10,45.825001,45.990002,45.130001,45.889999,40.456028,4528452
2015-08-11,45.939999,46.365002,45.419998,45.505001,40.116611,6238375
2015-08-12,45.270000,45.400002,44.220001,44.535000,39.261471,9133662
2015-08-13,45.470001,45.799999,44.224998,44.380001,39.124828,5593493
2015-08-14,44.250000,44.630001,43.904999,44.000000,38.789829,4402284
2015-08-17,44.380001,44.660000,43.869999,44.485001,39.217396,6242135
