Date,Open,High,Low,Close,Adj Close,Volume
2015-07-06,240.215057,242.406189,241.561798,240.619125,240.619125,null
2015-07-07,242.199524,242.970184,244.172607,245.813873,245.813873,null
2015-07-08,243.715210,243.747025,242.753967,242.986237,242.986237,null
2015-07-09,258.310181,256.733643,257.148376,257.541809,257.541809,null
2015-07-12,262.654816,264.242462,261.967285,262.987671,262.987671,null
2015-07-13,262.800507,261.795258,262.154846,261.272064,261.272064,null
2015-07-14,264.202698,259.955994,263.740875,259.501740,259.501740,null
2015-07-15,256.260254,254.479904,256.000122,253.930054,253.930054,null
2015-07-16,256.292114,256.742950,256.571808,256.365814,256.365814,null
2015-07-19,255.507416,255.720703,256.751434,257.639862,257.639862,null
2015-07-20,257.493683,255.513992,255.001709,255.421722,255.421722,null
2015-07-21,252.637177,253.689835,253.391083,253.821579,253.821579,null
2015-07-22,252.648193,252.637680,251.588226,253.142273,253.142273,null
2015-07-23,263.395508,263.911377,264.186584,262.989838,262.989838,null
2015-07-26,262.655884,261.853577,267.242035,268.201263,268.201263,null
2015-07-27,266.912354,265.925446,267.067871,265.112122,265.112122,null
2015-07-28,263.472290,262.588013,262.985443,262.100464,262.100464,null
2015-07-29,262.066803,262.781036,263.210297,262.198242,262.198242,null
2015-07-30,260.378937,259.797180,256.868164,259.898956,259.898956,null
2015-08-02,255.784668,256.021423,258.098938,255.647675,255.647675,null
2015-08-03,260.334564,259.999207,259.503418,260.131042,260.131042,null
2015-08-04,259.038452,258.923492,258.260742,258.059082,258.059082,null
2015-08-05,256.098846,254.286331,255.526123,254.129166,254.129166,null
2015-08-06,255.940933,256.826385,254.854340,255.622711,255.622711,null
2015-08-09,243.780533,238.489578,242.918503,241.212326,241.212326,null
2015-08-10,244.010681,245.030167,244.905853,245.983780,245.983780,null
2015-08-11,244.174652,242.000671,241.215576,241.893509,241.893509,null
2015-08-12,237.534210,238.661713,236.865128,236.969070,236.969070,null
2015-08-13,238.776459,239.228363,238.123199,237.945129,237.945129,null
2015-08-16,236.530792,231.593307,236.437531,231.200104,231.200104,null
2015-08-17,227.452759,201.208420,226.984360,201.940903,201.940903,null
2015-08-18,204.590393,202.642334,206.344711,205.106903,205.106903,null
2015-08-19,212.847336,210.732559,211.200470,211.845276,211.845276,null
2015-08-20,207.604385,206.520523,205.845291,207.787338,207.787338,null
2015-08-23,202.742767,184.218018,197.864227,185.111008,185.111008,null
2015-08-24,191.135056,193.161606,194.003479,191.771423,191.771423,null
2015-08-25,195.667206,197.860016,196.817276,194.824066,194.824066,null
2015-08-26,200.193405,199.588058,199.919144,198.438278,198.438278,null
2015-08-27,208.457581,207.516541,207.260437,205.948318,205.948318,null
2015-08-30,204.008713,203.032593,204.607544,205.322906,205.322906,null
2015-08-31,202.636475,202.279739,201.560760,203.075775,203.075775,null
2015-09-01,203.111649,203.467957,203.344681,202.985153,202.985153,null
2015-09-02,202.603943,204.261749,202.296097,202.584869,202.584869,null
2015-09-03,208.007401,207.542145,207.757248,207.361969,207.361969,null
2015-09-06,211.256119,211.520996,216.522400,215.378418,215.378418,null
2015-09-07,218.730759,218.321930,217.825836,218.748459,218.748459,null
2015-09-08,213.449753,213.343872,213.411697,212.627991,212.627991,null
2015-09-09,213.181061,212.002609,212.493988,212.696243,212.696243,null
2015-09-10,213.566269,212.193024,212.807877,212.507599,212.507599,null
2015-09-13,208.742615,203.203369,208.276886,202.608688,202.608688,null
2015-09-14,203.662735,203.502884,203.600922,203.137711,203.137711,null
2015-09-15,202.900269,202.773270,202.856339,202.399124,202.399124,null
2015-09-16,206.827850,205.679352,206.180496,205.605042,205.605042,null
2015-09-17,205.131042,204.339279,204.164734,203.947739,203.947739,null
2015-09-20,205.691071,201.182144,205.785263,200.274094,200.274094,null
2015-09-22,206.884476,205.757126,205.947678,206.298935,206.298935,null
2015-09-23,209.863800,207.760864,208.394760,208.991470,208.991470,null
2015-09-24,210.536697,210.814758,210.546585,210.413651,210.413651,null
2015-09-27,209.464645,209.655396,213.890137,213.485107,213.485107,null
2015-09-28,211.547058,211.294800,210.820694,210.968872,210.968872,null
2015-09-29,210.448914,210.996475,210.344040,209.818054,209.818054,null
2015-09-30,213.058731,212.766724,212.551346,213.031464,213.031464,null
2015-10-01,212.630310,212.754593,210.519073,212.418732,212.418732,null
2015-10-04,213.572906,212.834412,213.778244,214.518829,214.518829,null
2015-10-05,219.739151,219.397781,219.872269,220.451828,220.451828,null
2015-10-06,216.625137,216.083527,216.566467,215.663925,215.663925,null
2015-10-07,216.797470,215.475891,215.592926,216.121170,216.121170,null
2015-10-08,216.797134,216.512665,215.137070,216.604599,216.604599,null
2015-10-11,216.165619,215.726028,216.804977,215.805252,215.805252,null
2015-10-12,220.573517,219.097763,219.765305,219.884293,219.884293,null
2015-10-13,223.325699,221.587601,222.399307,221.756836,221.756836,null
2015-10-14,221.725815,223.144211,221.477066,221.767532,221.767532,null
2015-10-15,230.052124,229.068314,230.938721,231.427155,231.427155,null
2015-10-18,236.003159,232.825195,240.288483,232.073761,232.073761,null
2015-10-19,236.825729,236.530502,237.971603,238.890915,238.890915,null
2015-10-20,236.314987,235.720947,235.858536,235.943817,235.943817,null
2015-10-21,241.702271,245.744370,243.084702,241.759903,241.759903,null
2015-10-22,250.008316,250.893692,250.427551,251.124908,251.124908,null
2015-10-26,254.065445,253.761353,259.402863,260.335571,260.335571,null
2015-10-27,266.866608,267.132111,267.485107,267.070374,267.070374,null
2015-10-28,275.318207,275.540009,275.676025,276.930786,276.930786,null
2015-10-29,288.870911,286.892517,287.606995,288.060150,288.060150,null
2015-10-30,298.964844,297.284088,297.980530,298.330261,298.330261,null
